id	reviewed	portuguese
BOR-CORBO-BIB-JON-0001	Pao bataru aregodure Jonas, Amitai onaregedu, bogai, tagoi oino dutabo aragojedo, atudo Nínive ba kurirewu kurirewu kae, amagodo ji ro pegarewu aregoduie itae duji.	"Veio a palavra do Senhor a Jonas, filho de Amitai, dizendo:
Levanta-te, vai à cidade de Nínive, e clama contra ela, porque a sua malícia subiu até à minha presença."
BOR-CORBO-BIB-JON-0002	Jonas uture turegodu tabo Tarsis ba kurirewu kae, Pao piji. Ure turawuje Jope ba kurirewu kae, kejere jordure ia ika kurirewu ui tuduiagu Tarsis kae duji, ure tudumode torodu morido, icare ure taredo ika kurirewu to, tugoduwo nowu boe ebo Tarsis kae, Pao piji.	Porém, Jonas se levantou para fugir da presença do Senhor para Társis. E descendo a Jope, achou um navio que ia para Társis; pagou, pois, a sua passagem, e desceu para dentro dele, para ir com eles para Társis, para longe da presença do Senhor.
BOR-CORBO-BIB-JON-0003	Mare Paore ia bakuru rakarewu butudo pobo maerewu keje; bakuru rakaguragarewu kodire nowu ika kurirewu tuwogwaiagu pobo to.	Mas o Senhor mandou ao mar um grande vento, e fez-se no mar uma forte tempestade, e o navio estava a ponto de quebrar-se.
BOR-CORBO-BIB-JON-0004	Ika kurirewu epage epagudugodu kuricigore, eiamedu boe enogwamagudure tu tu to aroe eimejera bogai, icare, ika kurirewu barigoduwo puduidu bogaire, ere ia oroe barigu pobo to. Du tona ji Jonasre turawuje ika kurirewu upo kae, ure tuwu dukeje icare unudure rabodu.	Então temeram os marinheiros, e clamavam cada um ao seu deus, e lançaram ao mar as cargas, que estavam no navio, para o aliviarem do seu peso; Jonas, porém, desceu ao porão do navio, e, tendo-se deitado, dormia um profundo sono.
BOR-CORBO-BIB-JON-0005	Icare nowu jeture nowu ika kurirewu oroe jiwu ure tuburedo ji, akore kodi icare anudure? Aragojedo, akogwamagududo ako Aroe Eimejera bogai. Ia dukeje aidumode tumearudae butudo pawugeje tuwo paginorudo pawi piji.	E o capitão do navio chegou-se a ele, e disse-lhe: Que tens, dorminhoco? Levanta-te, clama ao teu Deus; talvez assim esse Deus se lembre de nós para que não pereçamos.
BOR-CORBO-BIB-JON-0006	Icare metage egore oino pui pawo pageragudu caido barigu, paeruduwo ioguduba koiare ure boedo oino pai. Ere boere tugeragu caidu barigu, du buture Jonas keje.	E diziam cada um ao seu companheiro: Vinde, e lancemos sortes, para que saibamos por que causa nos sobreveio este mal. E lançaram sortes, e a sorte caiu sobre Jonas.
BOR-CORBO-BIB-JON-0007	Du kodi icare egore oino ji cewie inoba ure kodiba boere oino pai? Kakoduboeba amaragodae rema Kaiba pijiba akaregodure? Kakoduwuba ako moto rema? Kakoduwu boe eiba aenare?	Então lhe disseram: Declara-nos tu agora, por causa de quem nos sobreveio este mal. Que ocupação é a tua? Donde vens? Qual é a tua terra? E de que povo és tu?
BOR-CORBO-BIB-JON-0008	Akore oino ei hebreinure imi. Imearutorure Aroe Eimejera baru tadawu ji, duwu ure pobo maerewu, moto, towuje.	E ele lhes disse: Eu sou hebreu, e temo ao Senhor, o Deus do céu, que fez o mar e a terra seca.
BOR-CORBO-BIB-JON-0030	Dukodi icare, meri joku aregodu keje, Paoi ia bakuru ururewu aregodudo meri rutu piji dukeje, icare meri urugu rakarewu jore Jonas aora keje, dukodire ure tuwiiagu; icare okwamagudure tuwiwo du bogai, tagoi oino dutabo pemegare ii iwiwo iemode dupiji.	
