id	reviewed	portuguese
BOR-CORBO-BIB-AGE-0001	Jorure pobe brae eimejera ji Dário cedu keje, arii ikera awubodure boture ikera awubowuto mito, boe tojiwu meri keje, Pao bataru aregodure profeta Ageu jabiji, Salatiel naregedu Sorobabel, Judá kejewu brae eimejera, ai, Josedec naregedu Salatiel, Pao burejoiage eimejera, ai jamedu oinore Pao utugare makarewu akore awu boe egore boe emode Pao Aroe Eimejera uwai pemegado pugeje dukejewu meri aregodukare raga!	
BOR-CORBO-BIB-AGE-0002	Dukodi icare Pao bataru aregodure profeta Ageu jabiji, tagoi oino dutabo umode turugadu tamuguwo bai todure irá moturewu tabowu tada, Pao uwai pegadodu tonaji?	
BOR-CORBO-BIB-AGE-0003	Kode, oinore Pao utugare makarewu akore tawiapagado tarore jiboe ji! Tare boe tugudu kuricigodo, mare takare tageragu du kurido boture moto pijiboe ji; tagogwagere mare tagogwa amogodukare; tagudure mare pobo boi taidu akedukare; tagudae meture tai mare ukare tawiri urudo: maragodurewu ure tumaragodae mori tugu ia micigu pororewu tada!	
BOR-CORBO-BIB-AGE-0004	Oinore Pao utugare makarewu akore tawiapagado tarorewu boe ji! Taru torikodu ao kae, iguru arego, iwai mugudo; nono iwudugugodu mode tada, itagaru kuridodu mode, oinore Pao akore.	
BOR-CORBO-BIB-AGE-0005	Jorure pobe brae eimejera Dário cedu keje, arii ikera awubodure buture ikera awu bowu to pobe, merire ikera pudogidure iwure pudogidure buture ikera awubowuto mito, dukeje, Pao bataru aregodure profeta Ageu jabiji, tagoi oino dutabo amagodo Salatiel naregedu, Judá kejewuge eimejera, Zorobabel ji, Josedec onaregedu Pao burejoiage eimejera Josué ji, boe eiamedu boe ekobo boeji, akagoi oino dutabo kakoduwu tagiba taerdure awu bai urugu boe tojiwu ji, inoba ure taegai oino pugeje? Biega jokodukare taegai? Kode, Zorobabel, atugu ato. Oinore Pao akore. Josué, Josedec onaregedu, Pao burejoiage eimejerage eimejera, atugu ato; moto kejewu boe, tadugu tado, oinore Pao akore; tamaragodudo, iragojere tagabo, oinore Pao utugare makarewu akore. Imago magai tai, tai tadawuje Egito piji dukeje, du reorere itaroe mugure tagoiadoda. Tabagudu kaba; oinore Pao utugare makarewu akore. Boe raimodukare dukeje imode baru, moto, amagadudo; imode pobo maerewu, moto jamedu boe amagadudo; imode boe epadui pumekejeboe eiamedu boe etamagadudo; boe eiamedu boe enoroe aregodumode; imode awu iwai korobadudo irugu tabo, oinore Pao utugare makarewu akore. Ino nure meri kigadurewu, meri ekurewu, oinore Pao utugare makarewu akore. Awu maiwu bai urugu kodumode boetojiwu urugu kori, oinore Pao utugare makarewu akore; imode awu bai jiwo aidugirido. Oinore Pao utugare makarewu akore.	
