file	ref	titulo	lingua	local	ano	autor
OIEIGO JIWU BAKARU.txt	ref01	OIEIGO JIWU BAKARU	Bororo	Artigo OIEIGO		Ochoa Camargo, Gonçalo (Cibaikare)
Artigo OIEIGO.txt	ref02	Artigo OIEIGO	Bororo	LOCAL03	1986	Ochoa Camargo, Gonçalo (Cibaikare)
AROE ETAWUJEDU.txt	ref03	AROE ETAWUJEDU - RITUAIS BORORO	Bororo	Meruri	1986	Frederico Coqueiro & Ochoa Camargo, Gonçalo (Cibaikare)
Coqueiro-biografia.txt	ref04	Frederico Coqueiro autobiografia	Bororo	Meruri	1982	Frederico Coqueiro & Ochoa Camargo, Gonçalo (Cibaikare)
NT_Ochoa.txt	ref06	BAKARU MAIWU - NT_Ochoa	Bororo	Mato Grosso	1992	Ochoa Camargo, Gonçalo (Cibaikare), SBD
História Míticat	ref07	História Mítica - 	Bororo	Mato Grosso	?	Ochoa Camargo, Gonçalo (Cibaikare), SBD
Exodo.txt	ref07	ÊXODO 2	Bororo	LOCAL10	YEAR10	AUTHOR10
