lemma	upos	xpos	form_sample	freq_in_corpus	GLOSS	CLS	PRCLITIC
dukode	ADV	adv	Dukodi	2			
kogorigi	NOUN	n	kogorigi	2			
ca	X	ideo	ca	2			
_	VERB	n	tugeje	2			
icare	ADJ	_	icare	2			
iera	NOUN	n	iera	2			
pado	VERB	v	pado	2			
poru	NOUN	n	tuboru	2			
pao	X	ideo	pao	2			
iki	NOUN	n	iki	2			
apo	ADV	posp	tabo	2			
bioro	NOUN	n	bioro	2			
dukodire	ADV	adv	Dukodire	2	du-kodi-re		
oinodu	ADV	adv	oinodu	2			
jiboe	PRON	pron	jiboe	2			
makaguraga	ADV	adv	makaguragare	2			
macare	CCONJ	cconj	Macare	2			
rekodaji	ADP	posp	eregodaji	2			
_	ADJ	_	pugeje	2			
Burekoibo	PROPN	propn	Burekoibo	2			
Kuieje	PROPN	propn	Kuieje	2			
Bakidobo	PROPN	propn	Bakidobo	2			
batarodui	VERB	V	ewadarodui	2			
makaguraga	PRON	pron	makaguraga	2			
iato	ADV	adv	iato	2			
barae	NOUN	n	barae	2			
pu	PRON	_	pu	2			
batarodae	NOUN	n	eawadarodae	2			
jedo	VERB	v	edo	2			
carugo	NOUN	n	tujarugo	2	tu=carugo		tu=
dukejere	ADV	adv	Dukejere	2			
jekare	VERB	v	egaerere	2			
aregodu	NOUN	n	etaregodu	2	et=aregodu		e=
bore	X	x	Bore	2			
arugo	NOUN	n	tujarugo	2			
inoba	PRON	_	inoba	2			
uwu	PART	prcl	Uwu	2			
bokwa	PART	prcl	bokware	2			
barogwato	NOUN	n	barogwatore	2			
ecewu	PRON	pron	ecewu	2			
boro	INTJ	intj	boro	2			
rekoda	NOUN	n	rekoda	2			
rugodu	VERB	v	rugodure	2	rugodu-re		
to	X	x	to	2			
metuia	NOUN	n	Metage	2			
Dukejere	ADV	adv	Dukejere	2	du-keje-re		
ja	NOUN	n	ja	2			
kudo	VERB	v	kudo	2			
otoguru	NOUN	n	otoguru	2			
ku	VERB	v	kure	2			
kogedu	NOUN	n	tugogedu	2			tu=
biie	NOUN	n	pawiie	2	pa=biie		pa=
ca	PART	prcl	Ca	2			
bagedu	NOUN	n	iwagedure	2	i=bagedu-re		i=
kocare	INTJ	intj	kocare	2			
booio	INTJ	intj	Booio	2			
koia	SCONJ	sconj	koia	2			
io	INTJ	intj	io	2			
je	INTJ	intj	je	2			
jetadu	VERB	v	iedadure	2	i=jetadu-re		i=
duji	SCONJ	sconj	duji	2	du-ji		
Koe	PROPN	propn	Koe	2			
Makarewudo	PROPN	propn	Makarewudo	2	maka-re-wu-do		
oga	NOUN	n	ioga	2			
Agwa	PROPN	propn	Agwa	2			
jokodu	ADV	adv	jokodukare	2	jodoju-ka-re		
ji	ADV	adv	jire	2			
maka	NOUN	n	makarewu	2	maka-re-wu		
boeji	X	x	boeji	2			
dukodi	SCONJ	sconj	dukoduie	2	du-kodi		
tori	NOUN	noun	tori	2			
iere	NOUN	noun	iere	2			
ie	NOUN	noun	iere	2	ie-re		
ake	VERB	vc	etagedudo	2	ake-do		
negedu	NOUN	n	Negedurogu	2			
kago	NOUN	n	kago	2			
dukaie	ADV	adv	dukaie	2			
onaregedu	NOUN	noun	negedurogu	2	negedu-rogu		
boe	NOUN	noun	boe	2			
_	DET	DEM	nowu	2			
_	PART	_	ca	2			
meardu	VERB	v	imeardudo	2	i=meardu-do		i=
mearudae	NOUN	noun	imearudae	2			
o	NOUN	noun	ioga	2			
tu	NOUN	n	tuduiagu	2			
kiari	VERB	v	kiarire	2			
rakoja	NOUN	n	rakoja	2			
jorugo	NOUN	n	jorugo	2			
dupiji	X	x	dupijire	2	dupiji-re		
biaga	ADV	adv	Biaga	2			
tuje	ADV	adv	tuje	2			
Jesus	PROPN	propn	Jesus	2			
jipagi	ADP	posp	jipagi	2			
butu	PRON	_	Tawudure	2	ta=butu-re		ta=
comoroi	ADP	posp	comoroiwuge	2			
ceboje	ADP	posp	cebojewu	2			
reo	PART	prcl	reo	2			
meartoru	VERB	v	tameartorumodukare	2			
imi	PRON	pron	imie	2	imi-ie		
bi	NOUN	n	birewu	2	bi-re-wu		
jerigiga	NOUN	n	jerigiga	2			
Torowari	NOUN	n	tori	2			
joki	ADP	posp	joki	2			
care	ADV	adv	care	2			
rema	NOUN	n	remawu	2			
kaje	ADP	posp	kajere	2			
kakoje	VERB	v	rakojere	2			
Aroia	PROPN	propn	Aroia	2			
kuri	NOUN	propn	Kurirewu	2			
mori	NOUN	v	mori	2			
ceraedu	NOUN	n	ceraedure	2			
baadojeba	NOUN	n	Baadojebare	2			
arioa	PROPN	propn	Aroia	2			
Tadugio	PROPN	propn	Tadugio	2			
uu	INTJ	intj	Uu	2	uu		
rugadu	NOUN	n	tarugadu	2	rugadu		
kadawu	NOUN	_	Ukadawu	2	kada-wu		
remawu	X	_	remawure	2	rema-wu		
kuie	NOUN	n	ikuie	2	i=kuie		i=
magadu	VERB	v	Itamagadure	2	it=amagadu-re		
joki	NOUN	n	joki	2			
