id,bororo
233,Nowu enawurewu poiwodoge emagare. Dukejere enawukarewu poiwodoge emagare jamedu. Nowu aroe epoiwo mitodu. Da kaere eiere Aroe Epoiwo. Eiere Poiwo Enawu. Eiere Poiwo Enawurewu.
234,Nowu aroe iwo oroerewu (enfeitado) ure pobe. Nowu jire ere iogwarido.
235,"Nowu aroe enogwa akore jiwu aroe ekudu aregodure tabowu, aroe  etaregodure  marido kae tabowu iere Iworeboe Iworeboe, oino."
236,"Nowu metuia  Kiedu ukuie parira emare co maere. Boe pebaru padure tai tai kajeje (penas de barriga de ave ao redor: kuje pebaru, kagariga pebaru, mace pebaru)."
237,"Nowu co maerewu, boe padure tai tai kajejewure, Kiedu ukuie rema."
238,Nowu akore: ci ciiii ci ci ci ciiii...
239,"Bokodori Ecerae etaregodure. Ere baado, icare ere bokodaga towuje, mare ia ipo ji karega eroino, bai ji karega eroino: nowu Bokodori Ecerae etumanare roino pudui."
240,"Boecodure dukejere icare nowu Bokodori Ecerae etumana ure tuwu tuba keje, ure kamorewu towuje tubace, icare ure tuwu kje, boeco dutabo. Icare unudure. Unudure jiii je, dukejere icare jetadure (Bakaru motudurewu reo)."
241,"Jetadure, Boekare ema pugeje: kiogonure ema. Aiwore pudui: m m.."
242,"Icare aiwore pudui tu ... pagudugodure. Aiwore tuguda mare boecore, jorudukare motoji. Icare ocagodure nowu tuwiemage ewogai, akore: Psiu! Psiu! Psiu! Boe bokweare."
243,"Icare ocagodure pugeje, akore: Psiu! Psiu! Psiu!"
244,"Icare barogwa kododure, Meri ruture dutabore icare ure turawuje. Ure tuie jodo pa, ure tugana jodo poku, ura tugana arogwado (Abriu em leque) br..."
245,"Kodure oino  huuuu... Ure tumugudo kuri pa moto keje, tuwiemage ebo."
246,"Icare akore Tuwiemage ei, akore: - Inure kamorewu to ipace, mare ipa kamorewu ruture itabo baruto, inudukeje. Iedadure toro baru tada, dukodire inagoino inoja tabo tawogai."
247,Nowu uwiemage egore: - Kirabodu. Ema rugadu.
248,"Icare aiwore, nowu i arure, iturare (a árvore tinha folhas e galhos)."
249,Icare egore: - Kakodiboeba pugeje?  Inoba ureboeba?
250,"Icare nowu i makore, akore: - Boe kodiboe imi karega. Boe enoroe imi. Iire boe egore “Bokodaga, Bokodaga” ino. Kodire boe enogodawunure imi."
251,Icare egore: - U! Kirabodu! Ema rugadu! Dukeje pamode pemegado.
252,Egore: - U! Itaidure inogodawuwo ema (quero fazer dele meu labrete).
253,Egore: - U! Ema rugadu!
254,Icare ere nowu rokoe enogwararewu iwo pemegado (taquara que parece boca de papa-lama).
255,Ure nowu rokoe enogwararewu iwo akodo boetojiwu Ino Kuri. Ure akodo: ci ci ci... ci ci ci...
256,"Icare ere iarogu kado. Ere kado tai, tai tai. Ere kogudo nowu bokodaga i kajeje. Dukejere icare ere ia kado tuwo togwa tugu to."
257,Ca! Dukejere icare nowu etumana kudugodure pugeje nowu bokodaga i tada. Akore: Ca ca ca ca... Kao!...
258,"Icare ure turawuje moto kae, ciwabokarenure ema pugeje. Boenure ema pugeje."
259,"Egore: - Boi pugeje icare akudugodure, mare akudu pegare."
260,Ere ciemagu cuku cuku cuku. Egogodure: m m m m....
261,"Icare ekodure bato, egore: Pawo jipá bu woe."
262,"Dukeje icare Kuruguga (boe) aregodure etae, akore: - Kakodiboe tagiba taroino, tagagoino? Tagimejera pa?"
263,Kaigu akore: - Boe kodiboe cegi karega ceroino. Aroe Kurugugoe cegire cenagoino.
264,"Egore: - Inoba tagagore.
Makogodure nowu tuwiemagei, akore: - Pagogoduwo."
265,"Icare egogodure, egore: - Wi wi wi wi wi wi(2)."
266,Ere ciemagu: cuku cuku cuku...
267,Ere boe to nowu to kadoroguji ta ta ta... tui ciemagu dutabo.
268,"Nowu Kuruguga, nowu Akaruio Boroge, nowu Apuie, egore; Wi wi wi wi wi wi (2)."
269,"Icare egore cewu tagoiaji pugeje: Wi wi wi wi wi wi, woje tumebiji, borororji."
270,"Ca! Nonore icare ere tugeragu ei, ere tugeragu nowu eno kadoji pugeje, egore: No... no no hu... hu hu!...."
271,Ere jeto tu...icare ere ‘No no hu bu’ keje.
272,"Icare Kuruguga makogodure Kaiguji, akore: - Inaire taroino tai."
273,Kuruguga akore: m!... Ukare ino (3). Iwororowo tagae ebo (3). Dure umode turugadu. Dukodire boe eekudumode iroi ebo tai duji.
274,Nonore Kaigu akore: U! Ema rugadu!.
275,"Icare eture pugeje, nowu tuieda kae, nowu bokodaga i kae."
276,"Dutabore icare eture cewu rokoe enogwararewu tabo pugeje, cewu tugoda Kurugugoe ebowoji."
277,Ere togwa tugu nowu iworeboeto: ji ji ji ji..
278,Ere ciemegu nowu bokodaga iji pugeje: cuku cuku cuku...
279,"Ika akore, pana akore."
280,"Ekodure dukeje icare Aroia Kurirewu mearudure ekuduji, enoiogwariji. Icare Aroia Kurirewu rekodure etogi mea tabo."
281,"Akore: - Kakodiboe tagiba taroino? Tagiba tagagoino, tagiba tawadarure oino?
Akore: - U! Boe kodiboe imi karega iroino."
282,"Akore: - Pobo kaere iture, mea kaere iture. Imedugodunure inagoi mea bogai koia duji."
283,"Aroia Kurirewu akore: - Pobo kaere iture, mea kaere iture. Imedugodunure inagoi mea boi koia duji."
284,"Akore: - Mare butugu, mare ieripo, mare aega apo (escondido) i paru keje, ipo paru keje.. Boe torurewure tare onado tai."
285,"Dukejere icare ere ecewu ture bu kejewu rokoe enogorarewu iwo kiwuje piji, rawuje piji."
286,"Etaiwore tu.. nowu rokoe enogorarewu iworogu jagi. Okorobadure i kuru tabo, nowu iworogu jamedu boe korobadure."
287,"Icare ere nowu iworogu rawuje piji. A! Moture! Kururogu ekure, kigadure."
288,"Icare ere pemegado, ere cewu manari (lixeira) reko ji, ere kororogodudo. Ere tugu togwato (labretes de resina), ere tugu taorato (pregos de resina)."
289,"Dukodire nowu Bokodori Ecerae eiere “Ecerae Ewaradu”, eiere “Kurugugoe Ewaradu”, nowu bokodaga i kae."
290,"Ino Kuri (Kuie Koecerewu = Koiwo Aogejewu) boadure (estava brincando); ure tugera bu bu tuwoadaerogu boe bogai dutabore, jorudure nowu rokoe enogorarewu iworoguji."
291,Icare ure kado: ta ta...
292,Icare ure togwa tugu to: ci ci ci (2).... Cii ci... cicici...
293,"Icare ere ia kado, icare ere bowuje, bowuje pa pa... Icare ere togwa tugu to."
294,Dukeje icare ere togwa ra piji.
295,"Dukejere Ino Kuri akogodure, akore: m m m... tui togwa ra piji dukeje."
296,Icare nowu umanamage egore: Pugeje! Pgeje! Pawo pagogwa tugu to paiamedutabo.
297,Icare ere togwa tugu to: ji ji ji ji ji..
298,Icare emagare egore: m m m m...
299,Nowu enawurewu poiwodoge emagare. Dukejere enawukarewu poiwodoge emagare jamedu. Nowu aroe epoiwo mitodu. Da kaere eiere Aroe Epoiwo. Eiere Poiwo Enawu. Eiere Poiwo Enawurewu.
300,Nowu aroe iwo oroerewu (enfeitado) ure pobe. Nowu jire ere iogwarido.
301,"Nowu aroe enogwa akore jiwu aroe ekudu aregodure tabowu, aroe  etaregodure  marido kae tabowu iere Iworeboe Iworeboe, oino."
302,"Nowu metuia  Kiedu ukuie parira emare co maere. Boe pebaru padure tai tai kajeje (penas de barriga de ave ao redor: kuje pebaru, kagariga pebaru, mace pebaru)."
303,"Nowu co maerewu, boe padure tai tai kajejewure, Kiedu ukuie rema."
304,Nowu akore: ci ciiii ci ci ci ciiii...
305,"Bokodori Ecerae etaregodure. Ere baado, icare ere bokodaga towuje, mare ia ipo ji karega eroino, bai ji karega eroino: nowu Bokodori Ecerae etumanare roino pudui."
306,"Boecodure dukejere icare nowu Bokodori Ecerae etumana ure tuwu tuba keje, ure kamorewu towuje tubace, icare ure tuwu kje, boeco dutabo. Icare unudure. Unudure jiii je, dukejere icare jetadure (Bakaru motudurewu reo)."
307,"Jetadure, Boekare ema pugeje: kiogonure ema. Aiwore pudui: m m.."
308,"Icare aiwore pudui tu ... pagudugodure. Aiwore tuguda mare boecore, jorudukare motoji. Icare ocagodure nowu tuwiemage ewogai, akore: Psiu! Psiu! Psiu! Boe bokweare."
309,"Icare ocagodure pugeje, akore: Psiu! Psiu! Psiu!"
310,"Icare barogwa kododure, Meri ruture dutabore icare ure turawuje. Ure tuie jodo pa, ure tugana jodo poku, ura tugana arogwado (Abriu em leque) br..."
311,"Kodure oino  huuuu... Ure tumugudo kuri pa moto keje, tuwiemage ebo."
312,"Icare akore Tuwiemage ei, akore: - Inure kamorewu to ipace, mare ipa kamorewu ruture itabo baruto, inudukeje. Iedadure toro baru tada, dukodire inagoino inoja tabo tawogai."
313,Nowu uwiemage egore: - Kirabodu. Ema rugadu.
314,"Icare aiwore, nowu i arure, iturare (a árvore tinha folhas e galhos)."
315,Icare egore: - Kakodiboeba pugeje?  Inoba ureboeba?
316,"Icare nowu i makore, akore: - Boe kodiboe imi karega. Boe enoroe imi. Iire boe egore “Bokodaga, Bokodaga” ino. Kodire boe enogodawunure imi."
317,Icare egore: - U! Kirabodu! Ema rugadu! Dukeje pamode pemegado.
318,Egore: - U! Itaidure inogodawuwo ema (quero fazer dele meu labrete).
319,Egore: - U! Ema rugadu!
320,Icare ere nowu rokoe enogwararewu iwo pemegado (taquara que parece boca de papa-lama).
321,Ure nowu rokoe enogwararewu iwo akodo boetojiwu Ino Kuri. Ure akodo: ci ci ci... ci ci ci...
322,"Icare ere iarogu kado. Ere kado tai, tai tai. Ere kogudo nowu bokodaga i kajeje. Dukejere icare ere ia kado tuwo togwa tugu to."
323,Ca! Dukejere icare nowu etumana kudugodure pugeje nowu bokodaga i tada. Akore: Ca ca ca ca... Kao!...
324,"Icare ure turawuje moto kae, ciwabokarenure ema pugeje. Boenure ema pugeje."
325,"Egore: - Boi pugeje icare akudugodure, mare akudu pegare."
326,Ere ciemagu cuku cuku cuku. Egogodure: m m m m....
327,"Icare ekodure bato, egore: Pawo jipá bu woe."
328,"Dukeje icare Kuruguga (boe) aregodure etae, akore: - Kakodiboe tagiba taroino, tagagoino? Tagimejera pa?"
329,Kaigu akore: - Boe kodiboe cegi karega ceroino. Aroe Kurugugoe cegire cenagoino.
330,"Egore: - Inoba tagagore.
Makogodure nowu tuwiemagei, akore: - Pagogoduwo."
331,"Icare egogodure, egore: - Wi wi wi wi wi wi(2)."
332,Ere ciemagu: cuku cuku cuku...
333,Ere boe to nowu to kadoroguji ta ta ta... tui ciemagu dutabo.
334,"Nowu Kuruguga, nowu Akaruio Boroge, nowu Apuie, egore; Wi wi wi wi wi wi (2)."
335,"Icare egore cewu tagoiaji pugeje: Wi wi wi wi wi wi, woje tumebiji, borororji."
336,"Ca! Nonore icare ere tugeragu ei, ere tugeragu nowu eno kadoji pugeje, egore: No... no no hu... hu hu!...."
337,Ere jeto tu...icare ere ‘No no hu bu’ keje.
338,"Icare Kuruguga makogodure Kaiguji, akore: - Inaire taroino tai."
339,Kuruguga akore: m!... Ukare ino (3). Iwororowo tagae ebo (3). Dure umode turugadu. Dukodire boe eekudumode iroi ebo tai duji.
340,Nonore Kaigu akore: U! Ema rugadu!.
341,"Icare eture pugeje, nowu tuieda kae, nowu bokodaga i kae."
342,"Dutabore icare eture cewu rokoe enogwararewu tabo pugeje, cewu tugoda Kurugugoe ebowoji."
343,Ere togwa tugu nowu iworeboeto: ji ji ji ji..
344,Ere ciemegu nowu bokodaga iji pugeje: cuku cuku cuku...
345,"Ika akore, pana akore."
346,"Ekodure dukeje icare Aroia Kurirewu mearudure ekuduji, enoiogwariji. Icare Aroia Kurirewu rekodure etogi mea tabo."
347,"Akore: - Kakodiboe tagiba taroino? Tagiba tagagoino, tagiba tawadarure oino?
Akore: - U! Boe kodiboe imi karega iroino."
348,"Akore: - Pobo kaere iture, mea kaere iture. Imedugodunure inagoi mea bogai koia duji."
349,"Aroia Kurirewu akore: - Pobo kaere iture, mea kaere iture. Imedugodunure inagoi mea boi koia duji."
350,"Akore: - Mare butugu, mare ieripo, mare aega apo (escondido) i paru keje, ipo paru keje.. Boe torurewure tare onado tai."
351,"Dukejere icare ere ecewu ture bu kejewu rokoe enogorarewu iwo kiwuje piji, rawuje piji."
352,"Etaiwore tu.. nowu rokoe enogorarewu iworogu jagi. Okorobadure i kuru tabo, nowu iworogu jamedu boe korobadure."
353,"Icare ere nowu iworogu rawuje piji. A! Moture! Kururogu ekure, kigadure."
354,"Icare ere pemegado, ere cewu manari (lixeira) reko ji, ere kororogodudo. Ere tugu togwato (labretes de resina), ere tugu taorato (pregos de resina)."
355,"Dukodire nowu Bokodori Ecerae eiere “Ecerae Ewaradu”, eiere “Kurugugoe Ewaradu”, nowu bokodaga i kae."
356,"Ino Kuri (Kuie Koecerewu = Koiwo Aogejewu) boadure (estava brincando); ure tugera bu bu tuwoadaerogu boe bogai dutabore, jorudure nowu rokoe enogorarewu iworoguji."
357,Icare ure kado: ta ta...
358,Icare ure togwa tugu to: ci ci ci (2).... Cii ci... cicici...
359,"Icare ere ia kado, icare ere bowuje, bowuje pa pa... Icare ere togwa tugu to."
360,Dukeje icare ere togwa ra piji.
361,"Dukejere Ino Kuri akogodure, akore: m m m... tui togwa ra piji dukeje."
362,Icare nowu umanamage egore: Pugeje! Pgeje! Pawo pagogwa tugu to paiamedutabo.
363,Icare ere togwa tugu to: ji ji ji ji ji..
364,Icare emagare egore: m m m m...
365,"Akore: - Kodire inagoino, nogware kugure tagae. Irogodu kowu boecoto ca kuri je. Tagado nowu bogai, tawo udo turugadu. Akore."
366,Icare boecodure. Icare barogwa kododure.
367,"Dukejere uture tuwobe emuga kae, akore: - Cegodo toro, nogware kugure,  boe baado toro. Cegodo toro pawo pagagu aroe etawuje."
368,"Icare rekodure etae (Ki Bakororo rekodure Tadugo ae, rekodure Butoregadu ae)."
369,"Butoregadu atugore nowa tabo, Tadugo atugore irogodutabo. Padure okwa kajeje, iera ra paru kajeje, bure ra paru kajeje; mogajeje core."
370,"Nowu uwie iera ra paru kigadure, okwa kigadure, bure kigadure, mogajejewu kigadure (nowa tabo)."
371,"Icare ere etudo bororo kae, ere ewuredo bororo keje tu."
372,"Icare egogodure. Tudumode bororoji dukeje egogodure, egore: - m m m m m... cuku cuku cuku..."
373,"Ekodo bororoji... woe bororo paru kae tu, ere tamudo biega tu je.
Dukeje icare eture pugeje: cuku cuku cuku... nowu aroe bure kae."
374,Icare eture cuku cuku cuku. Egogodure bororoji jii... bororo paru kae.
375,"Ere tuwuredo tu je, dukeje icare egore: m.... tui tuwuredo dukeje.."
376,"Icare ere tôro kiwuje epiji, ere aroeceba ta etao piji, ere pariko kiwuje etao piji, ere kiogoaro kiwuje ekana piji. Ere jeto tu, nowu aroe ao keje."
377,"Icare nowu Ki Bakororo makogodure tuwiemagei, akore: - Tarego bapo kae. Icare etaregodure bapo tabo, ere maku etai. Tugarege eiamedu ai."
378,"Icare ere tura kado. Dukejere nowu aroe etuo kodo mato kuri, ure tumugudo ewure paru, icare ere toroe to pui ae, cimo pariko, tuwabo, ere makai."
379,Dukeje icare ure turagojedo tabo taci toro bato. Ure jeto tuieda keje.
380,"Boeco Paruji, Ki Bakororo uwadodure, akore: - Kodire iangoino, iorubodare Aroia Kurirewu akae. Akore: Kodire inagoino, iorubodare Okoge Ebowu akae."
381,"Dukeje icare ure togwa maedo eiamedu joki: Areme, ipare, ime eiamedu, akore: - Tadudo taerubo kae."
382,"Icare barogwa kododure, icare Iwagududoge eiamedu ure taodo toro iturato, kurugato, tuiorubo bogai.  Ewogware toro jiii je."
383,Dukejere icare etaregodure. Ee padure duru ru ru ru ru. Ere tudo nono jure ruture.
384,"Ca! Meri kodo jii... Meri rore kroci pagaia joki (1h.), dukejere icare ere cewu tuiorubo kowu (queimam o remédio: raízes, paus, cipós, para fazer carvão)."
385,"Dukejere icare ere co bu tuie kajeje, ere co jodo tugana kajeje (nonogo karega), ere co jodo tubogora kajeje, ere jodo tuwure keje."
386,"Ere nowu iwoi kodudu (embira) ere kogudo tugera ra paru gajeje, tuwure ra parugajeje, ere bu tuwugeje. Icare ere tudo turugadu."
387,"Icare, meri jeture pae jaka keke (4 has) dukeje icare Kie eregodure etae. Ere tugeragu ei (nowu Iwagududogei), ere emugudo."
388,"Icare ere tuwuredo ei, ere ico jodo ewugeje, oino eigo, woe awu aiga kae (até a cintura) woje, eporuji, etogeaji, ekanaji. Okwa akirire. Ure oino awu ege keje (do olho ao ouvido), ere okwa akirirdo."
389,"Icare akedure, dukejere ere kaidaga kogudo ekana kajeje, ekera ra parugajeje, etoreagajeje (cruzado no peito e nas costas), ere kogudo ekajeje, ere kogudo erajeri gajeje (por baixo do joelho), ere kogudo ewure ra paru gajeje."
390,"Nowu Buturoe areme, nowuge etogea kejere baku padure; nowu Buturue adugo tugudure  nowu bakuji. Ere kidoguru corewu jodo nowu baku keje já já (listras verticais), ere okwa akirido. Dure padure Buturoe areme emo keje."
391,Icare akedure dukejere icare ere ewirido... ta... bororo kae.
392,"Du tonajire ekudugodure, egore: - m m m m m..."
393,"Nowu tugudugodu akedukeje, egogodure, egore: m m m m m ..."
394,"Boe egore: “Aroe Buturoe” oino ei, egore nono aroe egore kodi."
395,"Ekodo bororoji jiii... nowu tagoino dutabo, bororo paru kae."
396,Ere tamudo biega tu... Dukeje icare eture pugeje.
397,"Baporogu kiare: cugu cugu cugu... dukeje ekudugodure, egore: Ka! Ka! Ka!... m m m m m... Tugodui bororoji jii ... bororo paru kae."
398,Icare ere tuwuredo bororo paru keje pugeje.
399,"Dukeje icare Ki Bakororore tôro kiwuje epiji, ure kaidaga kiwuje epiji, ure pariko kiwuje etao piji."
400,"Ure etaimo. Ure ewirido nono aroe keje, ure etaimo."
401,"Dukeje icare ere turagojedo. Icare ere togwamu boei, boe eiameduji: pf!..."
402,"Icare Ki Bakororo akore: Ca! imedumage, iwage, tarego bapo kae, tawo maku Tugarege eiamedu ai. Pariko tugu eiamedu aoto, eragoduwo tuiaduji."
403,"Icare ere tura kado, dukejere icare aroe uo aregodure. Kodo kuri, ure tumugudo ewure paru. Ere nowu cimo pariko, tuwabo, ere maku ai. Icare imadure nowu enoroe tabo, akore: No...no no hu...hu hu!..."
404,"Ure turagojedo tabo taci, cai tudui toro bato tabo kodi."
405,"Ure turemo tabo tuwaito, ure jeto tu tuieda keje."
406,Ki Bakororo ure marugodudoge ewarigu poboto. Nowu marugodudoge eiera Aroe Buturoe.
407,"Uture ewogai pugeje, dukeje icare jorudu tuginoidure ei. Nonore icare ere karodo pudumi: Oinore oto jagirire (estavam branquinhos)"
408,"Rekodure epiji pugeje tuiegare tabo, makore nowu tore Apiboregei, akore: - Ecewu iro okudae ure karodo pudumi! Akore."
409,"Icare uture ewogai pugeje, aiwore ei. A! Icare ere tuwure amagadudo oino."
410,"Rekodure epiji, icare makore nowu torei, akore: Kurugugoe! Ecewu kare ere tuwure towuje. Akore: - Pawo eparudo."
411,Icare ure eparudo. Boe egore nowu oecerewugei. (matrinxã)
412,"Icare uragodure, akore:"
413,"Boeco paruji Ki Bakororo uwadodure, akore: - Kodire inagoino iorubodare Tadugo akae."
414,"Icare enudure. Icare barogwa kododure. Icare Tadugo Butoregadu, Aroia Kurirewu, Kogebowu, egore: - Marigu paduwo pawobe emuga kae."
415,"Meri pagaia kejere icare eture toro. Eedure nono tuwobe emuga keje. Dukejere icare Ki Bakororo rekodure ewogai, Tadugo, Butoregadu ewogai, toro etuwobe emuga kae."
416,"Kodure, ure turemo toro  nowu Tadugo uwaito, ure tugera kogudo iera ra paru gajeje tuku, kodure apo toro nowu Ki Bakororo uwai kae. Ure mugudo tu kodo baa keje."
417,"Rekodure pugeje, Butoregadu bogai pugeje. Ure turemo uwaito krai."
418,"Akore: - Mato, mato, mato! Ure kogudo iera ra parugajeje. Ure turagojedo apo taci. Kodure jii... toro tuwaito ure turemo apo jii tuwaito, akore: Ca! Etadugodo irogodutabo. Eporaire irogoduce, padure enogwa kajeje. Icare ere ekera ra paru codo, ere ewure ra paru codo (ekare ekujagudo: econure rugadu)."
419,"Icare ere kiogoaro kogudo ekera ra paru gajeje, ere kogudo eidogajeje, ere bu etaobaru keje."
420,"Icare ere ciwaboe etoiaga bu ee keje, ere pariko kogudo etaogajeje. Icare ere tôro kogudo ekajeje. Ere pariko tugu etaoto."
421,Icare eture ebo bororo kae (5 hs).
422,"Ere tugera kogudo etoro kajeje tu. Ekodure ebo kuri, bororo kae. Ere ewuredo tu, bororo keje."
423,"Dukeje icare egogodure, agore: m m m m m...."
424,Ere ciemagu: cuku cuku cuku...
425,Ekodure.... ere tuwuredo bororo paru keje pugeje.
426,"Nonore icare Ki Bakororo ure tôro kiwuje epiji, ure kiogoaro kiwuje epiji, ure pariko ta etao piji, ure nowu enoroe bu aroe ao keje."
427,Ca! Nonore icare etaimodure. Ere taimo tu aroe keje.
428,"Meri rekodutabo icare KI Bakororo makogodure tuwiemagei, akore: - Imedumage, tagado pariko bogai, tarego bapo kae, tawo pariko, bapo, maku Tugarege eiamedu ai, eragoduwo turegodaji. Icare eregodure bapo kae, ere maku Tugarege etai, ere pariko tugu etaoto."
429,"Icare ere tura kado, dukejere icare nowu aroe etuo aregodure, kodo kuri, ure tumugudo  tu, ewure paru."
430,"Icare ere nowu toroe makai, ere nowu cimo pariko, nowu tuwabo, ere makai."
431,Icare eture toro taci tuwai kae.
432,"Beore Aroe Maiwu merudo toro poboto, icare boere kare ewidodu kuriicigodo apo."
433,"Icare boere aroe ekudu arego nowu kare ebo, nowu Aroe Maiwu apo (meri rekodutabo)."
434,"Icare areme eregodure aroe etogi. Areme eridure aroe etogi pudaboboe bogai (pudaboboe= o peixe que chega e vai picar com elas). Icare ere tudugu nowu pudaboboeji, ekodure toro boetoji bato pudaboboe tabo: pudabowu kare ebo aroe etododai. Aroe ekodure eregodaji toiogwari tabo, tugudutabo. Ekodure jii bato."
435,"Icare uture toro bapo tabo aroe etogi, bororo kae."
436,"Icare Kaigu ure aroe ererudo bororoji, cewu pari imoce (baquitezinho para enfeitar a ema)."
437,"Icare ere tugeragu nowu Baru Baruji: ere tugeragu Birimodoji, ere tugeragu Meriri Baruji, ere edo pobe."
438,"Icare ere ba kogudo ewure ra paru gajeje, era jerigajeje, ere ba kogudo eidogajeje. Ere ekedo ia baji. Icare ere etudo bai piji bororo kae."
439,"Badojeba akore: - Tagaiwokaba, aroere tuiagu tuiebu. Oinono Badojeba Bakorokudu akore tugudutabo."
440,Egore: - Baru baru!... Baru baru!... tugodui bororoji jii... bororo paru kae.
441,Egore oino tureru tabo. Ekedure tu... nowu baji (nowu kodoroji).
442,"Ekodure bororoji jiii nowu tugudutabo, nowu tureru tabo jiii. Eiore baito krai, toro pugeje."
443,"Dukeje icare ere tugeragu nowu Pariji pugeje, nowu Butoregadu pugeje, mowu mitodu jire ere tugeragu pugeje.  Icare ere nowu kodobo kogudo kajeje. Ere kogudo peagajeje, ere bu oreagajeje pudogi, ere ia kogudo itogajeje, iera ra parugajeje, ere kogudo ra jerigajeje. Ere ia tugu aorato gu tuku."
444,"Dukeje, nowu Badojeba uwadodure pugeje, akore: - Kodire inagoino itore tagae, imugamage tagae!Tagaokaba! Aroere tuiebu tuiebu!"
445,Dukeje icare rekodure aroei bai otoji (dentro do baito).
446,"Dukeje icare ure tuiebu, kodo bororoji nowu tago tabo: U!... U!... U!..."
447,Dukeje icare aroe eke buture.
448,"Icá! Aroe Enogwagere ji. Icare aroe enogwage akedure, icare ere ika maku Bakorokudu ai. Ure togwa tugu ikato."
449,"Boe jameduji, boere kare ewidodu kurido, boe erore oino, Aroe Maiwu apowu boe ero reno. .Boere ki bito Aroe Maiwu apo, du nonore boe erore."
450,"Nowu ure bitowu karo, nowu ure bitowu barogo, boe enure ui bitodu motuduuudo. Boe egore nowu oe jitudu boe o karo, o ki jitudu boe enure kodudo awu tuiegare, awu tui bito pagatu jewu karo, barogo jitudu kori."
451,"Bo eegare peeemegarewunure ema, Boe eegare moootudurewunure ema."
452,"Nowu tuiegare jamedu boe Boere barigududo (despreçam), mare nowu Aroe Maiwu o karo, o barogo, emare boe eegare peeemegare ji."
453,"Du jire boe erore oino nowu Baru Baruji, nowu Ki Oroji, nowu Pariji."
454,"Icare Aroia Kurirewu ure tugera bu Ki Bakororo ao keje, akore: Aroe eiagu tugera to, tuwure to motoji, ba tabo, tumeduia joki, tuge apeo kodu,  akó kodu awadutabo."
455,"Icare nowu Ki Bakororo makogodure, akore:"
456,"Kodire inagoino, iedagamage Badojebage Cebegiwuge tagae toro, tabadure toro, iwadarugodure tagae toro!"
457,"Akore: - Iedagamage, pawo aroe eerududo, pawo aro edo tugera to, tuwure to motoji, ba tabo tumeduia joki."
458,"Akore: - Iworo kuru, iworo betu, iworo okwabagudu (vinho azedo de acuri), iworo otaku (palmito) paru tabo."
459,Icare egore: - M! m m m!
460,"Dukejere icare ere bapo reko tuiorubodare Kaigu ae. Ure tugera tugu nowu bapoto: ju tuku, ju tuku, ju tuku."
461,Icare boecodure dukejere icare roia remawu epa uragodure.
462,Barogwa kododukejere icare Ki Bakororo ure Tôro Paru ko.
463,Ipare egore: - A!...A!...
464,"Meri rutu tabore icare eture kae. Ecerae eiamedu rore taci toro iturato, nowu noidoguruto oro bogai.Icare ere tugeragu ji. Oinore erore ji. Ere oro kado, ere nowu oro rawuje cira piji (tiram do talo). Icare ere kogudo. Ere tado kodudu bogai (procuram embira) nowu tôro kogace (para amarrar as palhas). Ere tado pagaji ikuredu bogai (cipó fininho), nowu toro okwa jowo to, koguwo tabo."
465,"Icare akedure, dukejere icare eture tabo."
466,"Are bapo reko, ere maku Kaigu ai. Icare makore toro pugeje."
467,Dukeje icare eture ba okwaji. Ere iogwarido: E!...
468,Akedure dukeje icare badojeba Bakorokudu ure ba (broto) reko Ki Bakororo ae. Icare Ki Bakororo muragodure pugeje.
469,(Tugedui ba jitu tabore akoino nowu Toro Paruji)
470,"Akiradu aiagu kurio cedoworo oro kigaduio, cedoworo aicoio akaru tugu cei. Akaru tugu cei (manda notícia para nós)."
471,"Akiradu aiagu kurio cedoworo oro kigaduio, cedoworo aicoio akaru tugu cei.   Akaru tugu cei."
472,"Akiradu aiagu kurio cedoworo oro kigaduio, ceodoworo aicoio akaru tugu cei. Akaru tugu cei."
473,"Akiradu aiagu kurio cedoworo oro kigaduio, cedoworo aicoio akaru tugu cei. Akaru tugu cei."
474,"Akiradu aiagu kurio cedoworo oro kigaduio, cedoworo aicoio akaru tugu cei. Akaru tugu cei."
475,Dukeje icare Tugarege pugeje.
476,"Akiradu aiagu kurio cedoworo oro kigaduio, cedoworo aicoio akaru tugu cei. Akaru tugu cei."
477,"Dukejere icare Ki Bakororo ure tumugudo kaiarogu keje, ure tugeragu to kaiwararoguji, icare ure to nowu tuga  jeji  pa pa pa."
478,"Nonore icare ure tamudo. Icare ure tugeragu cewu kodoroji pugje, ure maku Bakoorokudu ae."
479,Icare ure tugeragu kodoroji pugeje.
480,"Ure maku Kaigu ai pugeje, du tugedui kodoro jitu tabore"
481,"Akore pugeje:  - Uiorigiga padure Mekugori otogajejewu arowe baire jirie tagi, taiagu taiodo iceba itaora okorirewu, iceba ikuri okorirewu, icebaiedawu okorirewu bukeje toro, taeduia kaie toro. Wuru wuru wuru wuru . A!... Gae!...."
482,"Du akore: - Iie, iie, iie iie"
483,"Awu boe era tonaji, ipare ere toro pemegado. Ere rawuje cira piji (o destalam), icare re kogudo. Nowu tui kogudodu jire boe egore ‘okwabora, okwabora’ oino."
484,Egore: - Iparere toro okwaborado.
485,Egore: - Toro okwabora kejere ipare eedure.
486,Egore: - Toro okwabora jire ipere eroino.
487,Egore: - Toro okwabora jire ipare ekera roino.
488,Oinore egore turedodui tumedage ewiagai dutabo.
