id,bororo
54,"Icare nowu aroe etuo aregodure, ure tumugudo tu ewure paru. Ere nowu toroe maku ai. Imadure tabo tu.  Icare uture toro bato tabo."
55,"Bakororo je kejewu ciwaboe etoiaga oia kujagure, meriri padure paru keje (enfeite de metal por cima do ciwaboe etoiaga)."
56,"Itobore je kejewu ciwaboe etoiaga kuruguga oiaga padure oia keje, bokodori inegi padure paru keje (usa enfeite de unhas de tatu-canastra por cima do ciwaboe etoiaga)."
57,"Oinore Boe erore nowu Ipareceba Bakororodogei. Nonore Birimodo, Akaruio Boroge, erore Bakororodogei."
58,"Icare ere erego bakujebiji, Aije muga kae. Dukejere icare ere tugeragu Okwaji, egore: - Mato! Mato! Ere tugera kogudo iera kajeje. Ure turagojedo taci, ekera tabo."
59,"Ere iera ra paru codo, ere bure ra paru codo, ere atugodo nowa tabo apeadutabo."
60,"Ere nowu atugo akedudo, dukejere ere kaidaga kogudo kana kajeje, ere bu orea kajeje, ere kogudo ao kajeje. Icare ere kodo baado aroe ao keje, dukejere ere mugudo nono, aroe ao keje."
61,"Du tonajire icare ere nowu Ke bu Bakororo keje, ere nowu Ke bu Itobore keje. Ere eiado. Nowu Okwa iadodure jamedu."
62,"Icare ere kodo baado nowu aroe ao keje, icare ere nowu Okwa mugudo keje. Ere nowu Okwa aiwodo toro Nowu Bakororodoge ewogai.
Dukejere icare Bakororodoge etaregodure."
63,"Meri rekodure dutabore ekodo kuri bororo kae. Ere tubujodo tu pumegi, bororo paru keje."
64,"Dukejere nowu Okwa rekodure etae, akore: - Wao! Bokororoji, tui tugera to pui ae. Kodure Itobore ae, akore: - Wao! Ji, tui tugera to pui ae."
65,"Ure tugirimi Bakororo ae, akore: - Wao! Oino ji pugeje."
66,"Ure tugirimi Itobore ae pugeje, akore: - Wao! Tui tugera to pui."
67,"Nonore icare uture jice tumuga kae, ture tabo, ure tumugudo tu nowu tumuga keje pugeje."
68,"Nonore icare Birimodore Atugododu (roia) to nowu Bakororodogei. Ure tura rakaguragado. Areme erare jamedu, ere tura rakaguragado nowu Atugododuji."
69,"Nowu Bakororodoge edugo jire egoino, jire egore Atugoduduji tura tabo, mare tumago remawu tabo egore: ‘edugododu’, oino."
70,"Nono, nowu roia akedukeje, ere tureru kado jamedu. Nowu jire ererure jii je."
