id	source	portuguese	reviewed	portuguese_reviewed	segmentation	gloss	editorial_note
BOR-CORBO-OIE-O-MEREMERE-001	A+ O meremere O iwogodori O jakomema Akaru tawuje mato (outros falam: Akaru tabo je mato} (Este é estribilho dos cantos que seguem. No fim acrescenta a esta lista): O Jamaroro O Toruduio O Urubece Akaru tawuje mato.	Ukuie bakaraia, uwiadawu cugui biri, ukuie bokodori, ukuie jakomea, akaru reko mato = traz para cá a noticia do que tem colar de bakaraia, colar de unha de tatu canastra e peitoral de penas. I... i... Oieigo jewetuiaga ojewetu Bokodoriware iga Oieigo wararere tagaru uia Okogereu Bakororo tuiagajejewu okwabijire. Okwa bi. Oieigo jewetuiaga, o jewetu oia ieko. Oieigo jeture apowu Bokodoriware koiare ure Oieigo ko Okogereu Bakororo peagajejewu okwabiji = O dono do canto de Oieigo, Bokodori, cantou oieigo a partir da colocação do cinto em Okogereu Bakororo.					
BOR-CORBO-OIE-O-MEREMERE-002	B+ O Meremere O Iwogodori O Jakomema O Jamaroro O Toruduio = boe eké (tudo que é comida assada: Noidoia toru, apidoia, motore, kuiada toru, aroe toru, ju toru) O Urubece= mea (fumo) Akaru tawuje mato = ie maku mato I... i...Oieigo jewetuiaga ojewetu Bokodoriware iga Oieigo wararere tagaru uia Kuogoreu Bakororo tuiagajejewu okwabijire. Okwa bi Oieigo jewetuiaga, o jewetu oia ieko.	Bokodori o dono de Oieigo cantou oieigo a partir da colocação do cinto no famoso Kuogoreu Bakororo					
BOR-CORBO-OIE-O-MEREMERE-003	C + O Meremere O Iwogodori O Jakomema O Jamaroro O Toruduio O Urubece Akaru tawuje mato. I...i... Oieigo jewetuiiga ojewetu Bokodoriware iga Oieigo wararere tagaru uia Cibaiureu Bakororo tuiagajejewu okwabijire. Okwa bi Oieigo jewetuiaga o jewe oia ieko	Bokodori o dono de Oieigo cantou oieigo a partir da colocação do cinto no famoso Cibaiureu Bakororo					
BOR-CORBO-OIE-O-MEREMERE-004	D+ O Meremere O Iwogodori O Jakomema O Jamaroro O Toruduio O Urubece Akaru tawuje mato. I...i... Oieigo jewetuiaiga ojewetu Bokodoriware iga Oieigo wararere tagaru uia aiadugodoge ewadarudodu epa Bakororo tuiagajejewu okwabijire. Okwa bi .Oieigo jewetuiaga.o jewe oia ieko.	O Bokodori dono de oieigo cantou oieigo a partir da colocação do cinto no famoso proclamador das onças, Bakororo.					
BOR-CORBO-OIE-O-MEREMERE-005	E+ O Meremere O Iwogodori O Jakomema O Jamaroro O Toruduio O Urubece Akaru tawuje mato. I... i... Oieigo jewetuiaga ojewetu Bokodoriware iga Oieigo wararere tagaru uia Aroweceba ewadarudodu epa Itobore Bakororo tuiagajejewu okwabijire.. Okwa bi. Oieigo jewetuiaga o jewe oia ieko.	Oieigo jeture apowu Bokodoriware koiare ure Oieigo ko akaruio aroweceba ewadarudodu epa Itobore Bakororo peagajejewu okwabiji = O dono do canto de Oieigo, Bokodori, executou Oieigo a partir da imposição do cinto no famoso proclamador do gavião real, Itubore Bakororo..					
