slug	title	type	place_date	units	file	status	note
mito-explicacao	Oieigo Jiwu Bakaru — mito e explicação	narrativa paralela		33	mito-explicacao.tsv	transcrito	Narrativa explicativa; não confundir com uma execução completa de Oieigo.
canto-no-mito	Oieigo citado no mito e explicação	canto		2	canto-no-mito.tsv	transcrito	Trechos Bororo de Oieigo preservados separadamente da narrativa explicativa.
o-meremere	Oieigo com O Meremere	canto com interpretação		5	o-meremere.tsv	transcrito	Transcrição documental; revisão editorial pendente.
antonio-caio-g96	Iwagududoge Coreuge Eno Oieigo — Antônio Caio	canto		78	antonio-caio-g96.tsv	transcrito	Transcrição documental; revisão editorial pendente.
para-deus-garcas	Oieigo de Aroe Eimejera Okoge Ekureu	canto		57	para-deus-garcas.tsv	transcrito	Transcrição documental; revisão editorial pendente.
p-rodolfo-m85	Oieigo do P. Rodolfo — Meruri/85	canto		38	p-rodolfo-m85.tsv	transcrito	Transcrição documental; revisão editorial pendente.
finado-bentinho-g86	Oieigo do Finado Bentinho	canto		56	finado-bentinho-g86.tsv	transcrito	Transcrição documental; revisão editorial pendente.
