id	source	portuguese	reviewed	portuguese_reviewed	segmentation	gloss	editorial_note
BOR-CORBO-OIE-FINADO-BENTINHO-G86-023	Oieigo jetuiaga (2) Bokodoriware iga oieigo wararere taagaruia batarudo umuguia iroiareu kuje eiegiri uredudu remoduia kuogoreu cegimejera bopaguduia ATURUA BAKORORO tuiagajejewu okwabijire. Oieigo jetuiaga.						
BOR-CORBO-OIE-FINADO-BENTINHO-G86-024	Na podoje tugu je toro (2) Cewu bataruduia taboguru jaiowejewu tameriworo rukoreuge etoiaga urugu paduiagu turemoduia bopaguduia KAWORUIO BAKORORO apodoje okwa bukorire. Na podoje tugu je toro.						
BOR-CORBO-OIE-FINADO-BENTINHO-G86-025	Ema tawiria uiroga pureuwore (2) Kuogoreu bopaguduia Cibaiu Bakororo awiria uiroga ecewu Arigao Bororo bukejewuge eimejera atogewu AIJEIARI BAKORORO biria reuwore. Ema tawiria uiroga pureuwore.						
BOR-CORBO-OIE-FINADO-BENTINHO-G86-026	Mamareuge tagire nono (2) Mamareuge tagiarega tare areako BOIARE BAKORORO awaiga aio kuogoreu akaru rekoducedo Mamareuge tamuguia Iturabo uia jetugae. Mamareuge tagire nono.						
BOR-CORBO-OIE-FINADO-BENTINHO-G86-027	Akiguia urugudo akije toro (2) Akiguia urugudo bopaguduia KAIDAGARE BAKORORO akije toro bokuoduia akudawu bóia bukorire. Akiguia urugudo akije toro.						
BOR-CORBO-OIE-FINADO-BENTINHO-G86-028	Bure kia birigodu rekoduiagu (2) Akare ikimamomo BAKUGUMOE EIMEJERA bure kia birigodu rekoduiagu aroe turegoduia tuwororo okwabijire. Bure kia birigodu rekoduiagu.						
BOR-CORBO-OIE-FINADO-BENTINHO-G86-029	Enogwa iemaro paduregaje (2) Uiedaga Aijoio Bakororo enogwa iemaro paduregaje tuiorudu iogoduia tadugo padarogwareu oia bukejewu tubiadawu CIBAE ETAO urugu aregodureu aruduia awugeje. Enogwa ienaro paduregaje.						
BOR-CORBO-OIE-FINADO-BENTINHO-G86-030	Bure kia birigodu rekoduiagu (2) Akare ikimamomo BAKUGUMOE EIMEJERA bure kia birigodu rekodiagu aroe turegoduia tuwororo okwabijire. Bure kia birgodu rekoduiagu.						
BOR-CORBO-OIE-FINADO-BENTINHO-G86-031	Koemama ikudodu paduregaje (2) Bopaguduia Kaiwo Bakororo ecebacewu koemama ikudodu paduregaje aroe turedoduia Bakororo uia jetugae. Koemama ikudodu paduregaje.						
BOR-CORBO-OIE-FINADO-BENTINHO-G86-032	Ukuie kudugodu puduigaje (2) Towo awogodori padugaiewu uruberireu bopaguduia PAIWO BAKORORO ukuie kudugodu paduigaje aroe turedoduia tuwororo uia jetugae. Ukuie kudugodu paduigaje.						
BOR-CORBO-OIE-FINADO-BENTINHO-G86-033	Akiri redudu muguiagu (2) Uiedaga Aroia Bakororo ecebacewu akiri redudu muguiagu aroe tturedoduia toiogwaio owotogajeje. Akiri redudu muguiagu.						
BOR-CORBO-OIE-FINADO-BENTINHO-G86-034	Uwaiga itorodu muguiagu (2) Uruberireu are aku KOGE BAKORORO uwaiga itorodu muguiagu toge ewidoduia Iturabo uia jetugae. Uwaiga itorodu muguiagu.						
